Provincia,Partido,Localidad,FIBRA OPTICA,Total accesos,% FIBRA OPTICA,Poblacion,Latitud,Longitud
BUENOS AIRES,General Villegas,Emilio V. Bunge,0,1,0.0,1986.0,-34.7798328261907,-63.1960964862342
BUENOS AIRES,General Villegas,General Villegas (Est. Villegas),0,3477,0.0,18275.0,-35.0338419886306,-63.0146637107531
BUENOS AIRES,General Villegas,Piedritas,189,616,30.681818181818183,2160.0,-34.771104540922,-62.9846965760316
BUENOS AIRES,General Villegas,Santa Regina,0,75,0.0,554.0,-34.548335663977,-63.1732728724567
BUENOS AIRES,General Villegas,Pichincha,0,1,0.0,18.0,-34.5804516676438,-62.3516395240412
BUENOS AIRES,Guaminí,Casbas,0,126,0.0,4450.0,-36.7580953396186,-62.5017754084549
BUENOS AIRES,Guaminí,Guaminí,75,420,17.857142857142858,2845.0,-37.0120881308673,-62.4166857296556
BUENOS AIRES,Guaminí,Laguna Alsina (Est. Bonifacio),0,445,0.0,1677.0,-36.80905243808,-62.2451480754422
BUENOS AIRES,Guaminí,Arroyo Venado,0,44,0.0,56.0,-37.0864662845331,-62.5391482291111
BUENOS AIRES,Guaminí,Garré,271,271,100.0,1036.0,-36.5604378772819,-62.5981120377825
BUENOS AIRES,Hipólito Yrigoyen,Henderson,0,932,0.0,8645.0,-36.2994630370091,-61.7178401805261
BUENOS AIRES,Hurlingham,Hurlingham,15128,31203,48.48251770663077,63307.0,-34.5930931356257,-58.6357209509749
BUENOS AIRES,Hurlingham,Villa Santos Tesei,12315,19797,62.20639490831944,66463.0,-34.6123944448227,-58.6538103691925
BUENOS AIRES,Hurlingham,William C. Morris,22,373,5.898123324396782,51471.0,-34.5815622830288,-58.6583005365543
BUENOS AIRES,Ituzaingó,Ituzaingó Centro,21281,48370,43.996278685135415,111138.0,-34.6440551161203,-58.688489332955
BUENOS AIRES,Ituzaingó,Ituzaingó Sur,0,30,0.0,23264.0,-34.6699430265699,-58.6733044157835
BUENOS AIRES,Ituzaingó,Villa Gobernador Udaondo,3123,12153,25.697358676869907,33422.0,-34.6168695808944,-58.693287500009
BUENOS AIRES,José C. Paz,Del Viso,0,152,0.0,6873.0,-34.480495794913,-58.8042588983994
BUENOS AIRES,José C. Paz,José C Paz,11686,40305,28.993921349708472,250301.0,-34.5211611965464,-58.770881112578
BUENOS AIRES,José C. Paz,Tortuguitas,0,1044,0.0,8806.0,-34.4918483987206,-58.7863780316191
BUENOS AIRES,Junín,Agustín Roca,89,304,29.276315789473685,331.0,-34.508084406003,-60.8648956546314
BUENOS AIRES,Junín,Agustina,8,8,100.0,155.0,-34.4607068571169,-61.067072329925
BUENOS AIRES,Junín,Balneario Laguna de Gómez,0,8,0.0,230.0,-34.6606435780718,-61.0183645929666
BUENOS AIRES,Junín,Fortín Tiburcio,0,69,0.0,257.0,-34.3467322372427,-61.1310781728463
BUENOS AIRES,Junín,Junín,2410,32513,7.412419647525605,87509.0,-34.5838316271397,-60.9472651715327
BUENOS AIRES,Junín,Laplacette,1,17,5.88235294117647,22.0,-34.7245238530675,-61.1553171474145
BUENOS AIRES,Junín,Morse,254,425,59.76470588235294,563.0,-34.7608898130707,-60.8419122487126
BUENOS AIRES,Junín,Saforcada,0,76,0.0,431.0,-34.5752591285936,-61.0747308195452
BUENOS AIRES,La Costa,Las Toninas,60,2035,2.9484029484029484,5278.0,-36.4883976285615,-56.7004352579533
BUENOS AIRES,La Costa,Mar de Ajó - San Bernardo,8971,16012,56.026729952535604,28466.0,-36.6874110140403,-56.6841400639982
BUENOS AIRES,La Costa,San Clemente del Tuyú,359,5319,6.749388982891522,12126.0,-36.3532388310754,-56.723944139417
BUENOS AIRES,La Costa,Santa Teresita - Mar del Tuyú,185,12177,1.5192576168185925,23581.0,-36.5409111808415,-56.705867443875
BUENOS AIRES,La Costa,Aguas Verdes,137,167,82.03592814371258,0.0,-36.6552111489067,-56.6949520678334
BUENOS AIRES,La Costa,Lucila Del Mar,1452,2722,53.34313005143277,0.0,-36.6627491358367,-56.6817136067571
BUENOS AIRES,La Matanza,20 De Junio,0,794,0.0,1171.0,-34.7855336508384,-58.7171850019077
BUENOS AIRES,La Matanza,Aldo Bonzi,0,3155,0.0,18965.0,-34.7141728890679,-58.5089043765674
BUENOS AIRES,La Matanza,Ciudad Evita,3158,13453,23.474317995986024,97087.0,-34.7245358500775,-58.5370063768546
BUENOS AIRES,La Matanza,Gonzalez Catán,16215,48445,33.470946434100526,233988.0,-34.7724652485211,-58.6404861634561
BUENOS AIRES,La Matanza,Gregorio De Laferrere,19122,46722,40.92718633620136,248439.0,-34.7468379962284,-58.5925328858169
BUENOS AIRES,La Matanza,Isidro Casanova,25819,47686,54.14377385396133,192465.0,-34.7184291570686,-58.577751528605
BUENOS AIRES,La Matanza,La Tablada,10,16660,0.060024009603841535,113689.0,-34.6870536689657,-58.5256123986254
BUENOS AIRES,La Matanza,Lomas Del Mirador,7,13469,0.05197119311010468,74065.0,-34.6656949723622,-58.5331553311677
BUENOS AIRES,La Matanza,Rafael Castillo,9083,23667,38.37833269953944,147069.0,-34.7132054583486,-58.6258365121679
BUENOS AIRES,La Matanza,Ramos Mejía,7534,45203,16.66703537375838,139369.0,-34.6523081823718,-58.5592114732944
BUENOS AIRES,La Matanza,San Justo,12842,39228,32.73682063831957,148882.0,-34.6881604248706,-58.5626785715398
BUENOS AIRES,La Matanza,Tapiales,7524,13542,55.560478511298186,21437.0,-34.7108317770604,-58.495008488146
BUENOS AIRES,La Matanza,Villa Eduardo Madero,11384,27658,41.15988140863403,106891.0,-34.6981156880684,-58.4877575961419
BUENOS AIRES,La Matanza,Villa Luzuriaga,35,17291,0.20241744260019665,104585.0,-34.6730866446433,-58.5938792359541
BUENOS AIRES,La Matanza,Virrey Del Pino,1097,24081,4.5554586603546365,127171.0,-34.8475213469043,-58.686067635918
BUENOS AIRES,La Plata,Abasto,3169,4131,76.71266037279109,0.0,-35.0103681960184,-58.1151848585184
BUENOS AIRES,La Plata,Angel Etcheverry,0,631,0.0,0.0,-35.0261580911328,-58.0959060056615
BUENOS AIRES,La Plata,Arturo Segui,0,47,0.0,0.0,-34.8907397135389,-58.132711650613
BUENOS AIRES,La Plata,Barrio El Peligro,0,466,0.0,0.0,-34.933333,-58.166667
BUENOS AIRES,La Plata,City Bell,124,3346,3.705917513448894,0.0,-34.8879382744371,-58.0582328038691
BUENOS AIRES,La Plata,Ignacio Correas,0,48,0.0,108.0,-35.0345600341406,-57.8440249586726
BUENOS AIRES,La Plata,Joaquin Gorina,2,233,0.8583690987124464,0.0,-34.9017817335757,-58.039185928571
BUENOS AIRES,La Plata,Jose Hernandez,0,32,0.0,0.0,-34.8985896635727,-58.0143972026636
BUENOS AIRES,La Plata,Jose Melchor Romero,0,965,0.0,0.0,-34.9455092438623,-58.0362904746611
BUENOS AIRES,La Plata,La Cumbre,0,145,0.0,0.0,-34.9235917717359,-58.0019478733944
BUENOS AIRES,La Plata,La Plata,37212,217527,17.106841909280227,207620.0,-34.920863104693,-57.9540560062469
BUENOS AIRES,La Plata,Lisandro Olmos,0,2363,0.0,0.0,-34.9976086009747,-58.043377425691
BUENOS AIRES,La Plata,Los Hornos,338,3953,8.550467998988111,0.0,-34.973715513981,-57.9850539062724
BUENOS AIRES,La Plata,Manuel B Gonnet,42,1518,2.766798418972332,0.0,-34.8819511933447,-58.0189915342036
BUENOS AIRES,La Plata,Ringuelet,87,1086,8.011049723756907,0.0,-34.8910544941568,-57.9913781921596
BUENOS AIRES,La Plata,Tolosa,194,3852,5.036344755970925,0.0,-34.9007699307169,-57.9821293495972
BUENOS AIRES,La Plata,Villa Elisa,135,3743,3.6067325674592574,0.0,-34.8776205187118,-58.0907139194439
BUENOS AIRES,La Plata,Villa Elvira,156,5182,3.010420686993439,0.0,-34.9406437624757,-57.9214984675578
BUENOS AIRES,La Plata,ruta del sol,0,292,0.0,0.0,-34.9437333541431,-58.1732652389706
BUENOS AIRES,La Plata,ruta del sol,0,292,0.0,2312.0,-34.9437333541431,-58.1732652389706
BUENOS AIRES,La Plata,El Retiro,1,1,100.0,0.0,-34.9476175562489,-57.9957432212034
BUENOS AIRES,La Plata,Transradio,0,1,0.0,0.0,-34.8790055541958,-58.081733864461
BUENOS AIRES,La Plata,Arana,0,129,0.0,0.0,-35.0300556104917,-57.8865250010855
BUENOS AIRES,La Plata,Villa Garibaldi,0,904,0.0,0.0,-34.9986517196678,-57.8404966243711
BUENOS AIRES,La Plata,Villa Parque Sicardi,0,1094,0.0,0.0,-34.9830288461923,-57.8674653074052
BUENOS AIRES,La Plata,Barrio El Carmen Oeste,0,145,0.0,0.0,-34.9707544223488,-57.8108950283044
BUENOS AIRES,La Plata,Barrio Gambier,0,145,0.0,0.0,-34.9359594527479,-57.9837630521994
BUENOS AIRES,La Plata,Villa Montoro,0,145,0.0,0.0,-34.9634490535296,-57.9025001308298
BUENOS AIRES,Lanús,Gerli,5362,11949,44.87404803749268,33704.0,-34.6909571502715,-58.3838628492162
BUENOS AIRES,Lanús,Lanús Este,13625,41764,32.62379082463366,55952.0,-34.7108609216651,-58.3725047463731
BUENOS AIRES,Lanús,Lanús Oeste,12281,25264,48.6106713109563,159094.0,-34.6957815314992,-58.416253274019
BUENOS AIRES,Lanús,Monte Chingolo,15415,26160,58.92584097859327,86220.0,-34.7302098940207,-58.3561741850066
BUENOS AIRES,Lanús,Remedios Escalada De San Martin,5019,20178,24.873624739815643,82576.0,-34.723808815713,-58.397669711018
BUENOS AIRES,Lanús,Valentín Alsina,11223,19014,59.02492899968445,41716.0,-34.672035526127,-58.4134851675076
BUENOS AIRES,Laprida,Laprida,2716,2738,99.19649379108839,8840.0,-37.5467976434903,-60.7970535965801
BUENOS AIRES,Laprida,Pueblo Nuevo,0,8,0.0,36.0,-37.3263227,-60.9098409
BUENOS AIRES,Laprida,Pueblo San Jorge,0,117,0.0,248.0,-37.2298626892886,-60.9621658450441
BUENOS AIRES,Las Flores,Las Flores,2283,5219,43.74401226288561,21455.0,-36.0154969145348,-59.1004659218434
BUENOS AIRES,Las Flores,Coronel Boerr,0,3,0.0,15.0,-35.9414440334215,-59.0693547287839
BUENOS AIRES,Las Flores,El Trigo,1,5,20.0,43.0,-35.8815483511482,-59.4063369903389
BUENOS AIRES,Las Flores,Pardo,0,4,0.0,159.0,-36.2437580460508,-59.3662916338311
BUENOS AIRES,Leandro N. Alem,Alberdi Viejo,0,6,0.0,318.0,-34.4418003349,-61.8448787838164
BUENOS AIRES,Leandro N. Alem,El Dorado,11,148,7.4324324324324325,318.0,-34.6528608747523,-61.5829085058874
BUENOS AIRES,Leandro N. Alem,Fortín Acha,0,39,0.0,103.0,-34.3430420274499,-61.5156655267073
BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi (Est. Alberdi),396,1113,35.57951482479784,3404.0,-34.4387919326349,-61.8121893821736
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,0,256,0.0,2468.0,-34.5217246234597,-61.391182899484
BUENOS AIRES,Leandro N. Alem,Vedia,534,2752,19.40406976744186,8827.0,-34.4973984349932,-61.5453447631479
BUENOS AIRES,Lincoln,Bayauca,0,26,0.0,541.0,-34.8710511337121,-61.2895451446375
BUENOS AIRES,Lincoln,Coronel Martínez de Hoz (Ap. Kilómetro 322),0,249,0.0,1041.0,-35.3321817215807,-61.6140851684372
BUENOS AIRES,Lincoln,El Triunfo,10,11,90.9090909090909,1543.0,-35.0882210775847,-61.5163333232822
BUENOS AIRES,Lincoln,Las Toscas,0,330,0.0,485.0,-35.3627586364746,-61.8061599731445
BUENOS AIRES,Lincoln,Lincoln,19,9303,0.20423519294851122,28051.0,-34.869042222818,-61.5291649669285
BUENOS AIRES,Lincoln,Pasteur,0,470,0.0,1962.0,-35.1426386337075,-62.2439028944602
BUENOS AIRES,Lincoln,Roberts,699,700,99.85714285714286,2982.0,-35.1440875676884,-61.9707859541264
BUENOS AIRES,Lincoln,Arenaza,0,117,0.0,1328.0,-34.9846043002155,-61.7729116988591
BUENOS AIRES,Lincoln,Carlos Salas,0,123,0.0,234.0,-35.3913662871435,-61.9949102331933
BUENOS AIRES,Lobería,Lobería,904,2425,37.27835051546391,13005.0,-38.165273387122,-58.7822303314999
BUENOS AIRES,Lobería,San Manuel,270,446,60.53811659192825,1126.0,-37.7892829007834,-58.8486476710495
BUENOS AIRES,Lobería,Arenas Verdes,0,11,0.0,12.0,-38.5463782386967,-58.557322112625
BUENOS AIRES,Lobería,Licenciado Matienzo,0,1,0.0,76.0,-37.9097927118145,-58.9120965943062
BUENOS AIRES,Lobería,Pieres,0,7,0.0,36.0,-38.3962306181995,-58.670580006548
BUENOS AIRES,Lobería,Tamangueyú,0,28,0.0,438.0,-38.2010112434137,-58.7373143964601
BUENOS AIRES,Lobos,Antonio Carboni,175,336,52.083333333333336,295.0,-35.2033088915799,-59.3449562581802
BUENOS AIRES,Lobos,Elvira,0,92,0.0,133.0,-35.243272141682,-59.4860397931491
BUENOS AIRES,Lobos,Lobos,4744,7701,61.6023893000909,29868.0,-35.1858677983922,-59.0957115706922
BUENOS AIRES,Lobos,Salvador María,446,747,59.70548862115127,830.0,-35.3028071422894,-59.1696841440203
BUENOS AIRES,Lomas De Zamora,Banfield,9306,63728,14.60268641727341,233339.0,-34.7379027155314,-58.440675368556
BUENOS AIRES,Lomas De Zamora,Llavallol,6991,14236,49.107895476257376,43211.0,-34.7946182344111,-58.4320908524909
BUENOS AIRES,Lomas De Zamora,Lomas De Zamora,11061,48687,22.718590178076283,116615.0,-34.7627676410061,-58.4267903899666
BUENOS AIRES,Lomas De Zamora,Temperley,8962,34091,26.28846323076472,116368.0,-34.767486625425,-58.3780461337408
BUENOS AIRES,Lomas De Zamora,Turdera,6225,8618,72.23253655140404,10199.0,-34.789560716095,-58.4041056486523
BUENOS AIRES,Lomas De Zamora,Villa Centenario,167,509,32.80943025540275,51834.0,-34.7289932955803,-58.4283436419093
BUENOS AIRES,Lomas De Zamora,Villa Fiorito,245,1069,22.91861552853134,44713.0,-34.7067104032516,-58.4451304500011
BUENOS AIRES,Luján,Barrio Las Casuarinas,102,151,67.54966887417218,0.0,-34.5607457195455,-59.1700837097016
BUENOS AIRES,Luján,Carlos Keen,0,20,0.0,557.0,-34.4862819813638,-59.2180861330698
BUENOS AIRES,Luján,Cortines,357,481,74.22037422037423,0.0,-34.5590633814317,-59.2044266157478
BUENOS AIRES,Luján,José María Jáuregui (Est. Jáuregui),2094,3552,58.952702702702695,0.0,-34.6028553295745,-59.1757529081248
BUENOS AIRES,Luján,Lezica y Torrezuri,0,38,0.0,0.0,-34.5806997364467,-59.0582308683017
BUENOS AIRES,Luján,Luján,8699,26863,32.382831403789595,97363.0,-34.5706550661632,-59.109540176033
BUENOS AIRES,Luján,Olivera,5,47,10.638297872340425,1926.0,-34.6265041710141,-59.2533805145177
BUENOS AIRES,Luján,Open Door (Est. Dr. Domingo Cabred),2,410,0.4878048780487805,0.0,-34.4890162386569,-59.0617361279716
BUENOS AIRES,Luján,Torres,0,172,0.0,2664.0,-34.4318215080317,-59.1287739002816
BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),409,953,42.91710388247639,2022.0,-35.0816834306862,-57.7469762592144
BUENOS AIRES,Magdalena,Magdalena,0,4149,0.0,11093.0,-35.0806853032506,-57.5172585839912
BUENOS AIRES,Magdalena,Vieytes,29,113,25.663716814159294,287.0,-35.269568396303,-57.5757117447539
BUENOS AIRES,Magdalena,Atalaya,353,353,100.0,720.0,-35.0240363457416,-57.5340253600961
BUENOS AIRES,Magdalena,Los Naranjos,46,46,100.0,115.0,-34.99655185849,-57.7036642458572
BUENOS AIRES,Magdalena,Roberto J. Payró,0,32,0.0,65.0,-35.1799267057869,-57.651986019808
BUENOS AIRES,Maipú,Las Armas,0,139,0.0,365.0,-37.0860540989,-57.8285752273883
BUENOS AIRES,Maipú,Maipú,0,1798,0.0,8883.0,-36.8648514645038,-57.8829166198472
BUENOS AIRES,Maipú,Santo Domingo,0,8,0.0,95.0,-36.7137597811284,-57.5860126519926
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,114,215,53.02325581395348,2877.0,-34.4544550576034,-58.7062417407487
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,5342,14648,36.469142545057345,94441.0,-34.4869935800875,-58.7286750953502
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,2,3589,0.05572582892170522,28780.0,-34.5004325972609,-58.6618050648717
BUENOS AIRES,Malvinas Argentinas,Ingeniero Pablo Nogués,687,4709,14.589084731365471,42663.0,-34.4790933125467,-58.6989741628196
