Provincia,Partido,Otros,<= 1 Mbps,"> 1 Mbps, <= 5 Mbps","> 5 Mbps, <= 10 Mbps","> 10 Mbps, <= 15 Mbps","> 15 Mbps, <= 20 Mbps","> 20 Mbps, <= 25 Mbps","> 25 Mbps, <= 30 Mbps","> 30 Mbps, <= 50 Mbps",> 50 Mbps,Total Accesos,Poblacion ENACOM,Poblacion INDEC,Total de viviendas,% accesos
TIERRA DEL FUEGO,Río Grande,1409.0,782.0,4980.0,12547.0,5883.0,254.0,1390.0,23.0,788.0,10.0,28066.0,69101.0,107896.0,36735.0,76.40125221178712
TIERRA DEL FUEGO,Ushuaia,898.0,136.0,1619.0,9341.0,11850.0,47.0,290.0,94.0,57.0,67.0,24399.0,56722.0,82615.0,30492.0,80.0177095631641
TUCUMAN,Burruyacú,2.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6190.0,43727.0,13909.0,0.12222302106549716
TUCUMAN,Capital,8.0,2015.0,9201.0,42588.0,4436.0,10073.0,3241.0,944.0,67264.0,42077.0,181847.0,548866.0,584798.0,202749.0,89.69070131048736
TUCUMAN,Chicligasta,1.0,40.0,429.0,3558.0,76.0,31.0,90.0,2.0,962.0,1051.0,6240.0,56128.0,92085.0,26945.0,23.158285396177398
TUCUMAN,Cruz Alta,2.0,5.0,104.0,491.0,40.0,79.0,37.0,125.0,891.0,2715.0,4489.0,142703.0,226150.0,63331.0,7.088155879427137
TUCUMAN,Famaillá,1.0,6.0,53.0,1358.0,78.0,32.0,0.0,41.0,38.0,32.0,1639.0,22924.0,41816.0,11838.0,13.845244129075857
TUCUMAN,Graneros,2.0,7.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,6457.0,14866.0,5288.0,1.380484114977307
TUCUMAN,Juan Bautista Alberdi,0.0,10.0,28.0,1670.0,110.0,120.0,0.0,3.0,0.0,0.0,1941.0,18430.0,34189.0,11080.0,17.518050541516246
TUCUMAN,La Cocha,2.0,7.0,6.0,286.0,53.0,35.0,0.0,1.0,0.0,0.0,390.0,6701.0,21000.0,6579.0,5.927952576379389
TUCUMAN,Leales,0.0,2.0,15.0,1484.0,83.0,84.0,0.0,39.0,60.0,0.0,1767.0,23559.0,64732.0,20394.0,8.664313033245072
TUCUMAN,Lules,0.0,28.0,553.0,5179.0,191.0,253.0,15.0,163.0,243.0,241.0,6866.0,50319.0,89622.0,27570.0,24.903881030105186
TUCUMAN,Monteros,1.0,15.0,1047.0,2376.0,131.0,60.0,0.0,14.0,10.0,0.0,3654.0,46557.0,77198.0,23940.0,15.263157894736842
TUCUMAN,Río Chico,0.0,16.0,160.0,2386.0,147.0,90.0,0.0,0.0,0.0,0.0,2799.0,43789.0,64146.0,19903.0,14.063206551776114
TUCUMAN,Simoca,0.0,0.0,389.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,10135.0,35051.0,11837.0,3.311649911295092
TUCUMAN,Tafí Viejo,2.0,52.0,692.0,5648.0,180.0,2470.0,131.0,78.0,1712.0,982.0,11947.0,42126.0,169363.0,53528.0,22.319160065759977
TUCUMAN,Tafí del Valle,0.0,17.0,77.0,539.0,11.0,3.0,0.0,10.0,0.0,0.0,657.0,7268.0,20091.0,15452.0,4.251876779704893
TUCUMAN,Trancas,0.0,2.0,10.0,528.0,2.0,0.0,0.0,0.0,0.0,0.0,542.0,3065.0,22478.0,10929.0,4.959282642510751
TUCUMAN,Yerba Buena,176.0,26.0,295.0,1751.0,97.0,2049.0,248.0,29.0,5406.0,5860.0,15937.0,72120.0,101874.0,30529.0,52.202823544826224
