Provincia,Partido,Localidad,Link Indec,Otros,<= 1 Mbps,"> 1 Mbps, <= 5 Mbps","> 5 Mbps, <= 10 Mbps","> 10 Mbps, <= 15 Mbps","> 15 Mbps, <= 20 Mbps","> 20 Mbps, <= 25 Mbps","> 25 Mbps, <= 30 Mbps","> 30 Mbps, <= 50 Mbps",> 50 Mbps,Total,% <= 10Mbps,% <= 25Mbps,Poblacion,Latitud,Longitud
CHACO,Fray Justo Santa María de Oro,Chorotis,22043010,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,941.0,-27.9175852858656,-61.3995694680726
CHACO,Fray Justo Santa María de Oro,Santa Sylvina,22043020,960.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0,3.3232628398791544,3.3232628398791544,7340.0,-27.8356008575455,-61.1361742191871
CHACO,General Belgrano,Corzuela,22049010,42.0,3.0,35.0,147.0,14.0,0.0,0.0,0.0,0.0,0.0,241.0,76.76348547717843,82.57261410788381,10335.0,-26.9556760087163,-60.9707574059512
CHACO,General Donovan,La Escondida,22056010,0.0,3.0,0.0,371.0,8.0,0.0,0.0,0.0,0.0,0.0,382.0,97.90575916230367,100.0,3261.0,-27.1073248470025,-59.4475325100431
CHACO,General Donovan,La Verde,22056020,10.0,2.0,332.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,362.0,95.02762430939227,97.23756906077348,2717.0,-27.1297934337807,-59.3774619894492
CHACO,General Donovan,Lapachito,22056030,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,100.0,888.0,-27.1587903465778,-59.3903975007013
CHACO,General Donovan,Makallé,22056040,0.0,1.0,0.0,408.0,2.0,0.0,0.0,0.0,0.0,0.0,411.0,99.51338199513383,100.0,4322.0,-27.211618544441,-59.2883662132688
CHACO,General Güemes,El Espinillo,22063010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,1261.0,-25.4176698636006,-60.4139677023547
CHACO,General Güemes,El Sauzal,22063020,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,100.0,100.0,715.0,-24.579149375301,-61.5461702165927
CHACO,General Güemes,El Sauzalito,22063030,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,3374.0,-24.4345499393074,-61.6813716975806
CHACO,General Güemes,Fortín Lavalle,22063040,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,100.0,100.0,687.0,-25.7056308542578,-60.2037478681132
